user.screen_name,created_at_D,original_tweet_count,retweet_count,reply_count,mention_count
kathystone1221,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
rothauch,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
BobtheReplier,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
FindAClearTruth,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
Anthellia,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
3thofme,2019-02-21 00:00:00+05:30,1.0,0.0,0.0,0
NJTRANSIT,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
manf40,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
CarsinMichel,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
1OneCredit,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
bob_shoots,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
DarrellWest1984,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
DreamsRestless,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
RealVicAndrew,2019-02-21 00:00:00+05:30,1.0,0.0,0.0,0
AllisonRhody56,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
davi_ferrarez,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
mcnellenbach,2019-02-21 00:00:00+05:30,1.0,0.0,0.0,0
julianswainson,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
nickpaluzzi,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
roderickburrell,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
timothy_burden,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
LaurieSpoon,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
Somethin_k,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
ComPattyjs,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
EvilMissMiracle,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
tentenvilu,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
ExcelAfrica,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
Margare04323327,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
pizzaital,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
Bamafanaticfan1,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
KochOdette,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
VACatLady,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
RickyCa69392149,2019-02-21 00:00:00+05:30,0.0,1.0,0.0,1
SandyKuti,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
slxvmm,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
coldwarning,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
kblast523,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
galnolabebu,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
bruce_bwkm,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
Schanette55,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
sagittxrus,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
21PotterDragons,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
lisaginardi,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
dm3300,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
kzocd,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
LuLaY_T,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
thaimrc,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
TeedIsMe,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,1
1sthappysodme,2019-02-21 00:00:00+05:30,0.0,0.0,0.0,0
Donna_Garness,2019-02-21 00:00:00+05:30,1.0,0.0,0.0,0
sagittxrus,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
dm3300,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
Bamafanaticfan1,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
LaurieSpoon,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
EvilMissMiracle,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
rothauch,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
nickpaluzzi,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
RealVicAndrew,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
21PotterDragons,2019-02-22 00:00:00+05:30,1.0,0.0,0.0,0
bob_shoots,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
manf40,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
thaimrc,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
Anthellia,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
slxvmm,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
RickyCa69392149,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
kblast523,2019-02-22 00:00:00+05:30,1.0,0.0,0.0,0
AllisonRhody56,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
tentenvilu,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
kathystone1221,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
kzocd,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
bruce_bwkm,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
KochOdette,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
Schanette55,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
VACatLady,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
SandyKuti,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
coldwarning,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
galnolabebu,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
Donna_Garness,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
lisaginardi,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
LuLaY_T,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
TeedIsMe,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,3
1sthappysodme,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
BobtheReplier,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
Margare04323327,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
pizzaital,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
FindAClearTruth,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
3thofme,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
NJTRANSIT,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
CarsinMichel,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
1OneCredit,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
DarrellWest1984,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
DreamsRestless,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
mcnellenbach,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
julianswainson,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
roderickburrell,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
timothy_burden,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
Somethin_k,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
ComPattyjs,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
ExcelAfrica,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
davi_ferrarez,2019-02-22 00:00:00+05:30,0.0,0.0,0.0,0
